"site","minDSi","medianDSi","meanDSi","sdDSi","maxDSi","n","minDate","maxDate"
"ALBION",1.664,37.0095,38.8961293568465,17.9937677834549,176.39,964,1982-02-11,2001-04-17
"Andersen Creek at H1",1.78027807943601,10.6638656958217,16.8554185306602,16.6431727323936,98.2713499848676,140,1993-12-09,2008-01-08
"Canada Stream at F1",3.91661177475922,22.1288565273896,22.8219602598893,7.86790096104788,44.1295330330598,182,1993-12-03,2009-11-20
"Green Creek at F9",1.42422246354881,20.7580424062239,21.8011951000712,9.17701631998925,51.912908796354,177,1993-12-17,2008-12-29
"Imnavait Weir",0.3,27.2,30.263055062167,18.1230840953425,119.9,563,1994-07-14,2005-05-31
"Kolyma",3.32870089125966,81.6696763670559,75.9276440645192,33.1568121462026,134.812386096016,93,2003-08-26,2011-06-10
"Lawson Creek at B3",2.52799487279913,16.9126417546421,21.5223303414585,13.4687651225394,60.8855103167115,159,1993-12-03,2008-01-11
"Lena",41.2376109913703,63.2453169339336,72.7980115815334,23.2453335937198,138.141086987276,149,2003-08-12,2010-09-01
"Mackenzie",34.9513593582265,51.5948638145248,53.9147381366127,10.0323318948665,76.7265555435353,154,2003-06-24,2011-05-19
"MARTINELLI",0.93,36.33115,35.9217945614035,17.0665854316437,73.81,570,1984-05-24,2001-08-26
"Ob",6.65740178251933,69.902718716453,89.8740997078842,55.9573095025628,318.057370159861,149,2003-07-16,2010-08-13
"Onyx River at Lake Vanda Weir",24.4247031386303,44.1152908084243,44.3462465745149,6.17530660349533,64.0900108596963,89,1994-12-30,2009-01-14
"Onyx River at Lower Wright Weir",7.12111231774403,25.8140321518221,26.0551428043767,5.12969081857779,52.7560484947749,99,1994-12-29,2009-01-21
"Priscu Stream at B1",18.7997365188442,35.0002670417119,38.6151881058275,13.944279908291,72.9201901336989,119,1993-12-15,2008-01-21
"SADDLE STREAM 007",1.71,79.7579538348292,94.4046327797741,90.4901829279177,431.76,213,1994-05-17,2005-07-05
"Von Guerard Stream at F6",42.7266739064642,81.8927916540564,82.6381791116146,15.077435586209,125.687632408182,107,1994-01-02,2010-01-05
"Yenisey",43.9483385621677,83.2175222814916,84.9209250938727,18.0691262316382,135.977431407957,139,2004-10-01,2011-06-17
"Yukon",47.3025040152455,93.2036249552706,101.460905227102,36.3945346652862,230.346101675169,127,2003-06-18,2010-08-03
