"","site.name","mblm_slope","mblm_intercept","mblm_pvalue","LTER","mblm_sig","mblm_n"
"1","ALBION",0.0209302231209699,-42.4786195275172,0.0830078125,"NWT","sig",11
"2","Andersen Creek at H1",0.0893723415205963,-181.844523091822,0.0975125381781096,"MCM","sig",4
"3","BK01.0M",0.332961154003393,-667.685902511774,0.34577858615116,"UMR","not sig",2
"4","Canada Stream at F1",0.0769874359324447,-157.598716219099,0.00836181640625,"MCM","sig",15
"5","CH00.1M",-0.0457707481081092,90.3086811697394,0.375,"UMR","not sig",10
"6","CN00.1M",-1.14529385633764,2309.62964466432,0.25,"UMR","not sig",3
"7","CU11.6M",-0.844492846531501,1695.37815194302,0.25,"UMR","not sig",3
"8","Green Creek at F9",-0.189143746582546,377.420234190265,0.0008544921875,"MCM","sig",15
"9","GSMACK",0.0123352007286648,-32.4095625169884,0.916847467422485,"AND","not sig",23
"10","GSWS02",0.0288523254510822,-73.4745557549709,0.255612513283268,"AND","not sig",34
"11","GSWS06",-0.440441655106712,855.456569701436,0.0209593313524363,"AND","sig",18
"12","GSWS07",0.159566707856539,-331.189498625053,0.02667236328125,"AND","sig",17
"13","GSWS08",-0.0988110498329551,178.568842400844,0.00702221860410647,"AND","sig",35
"14","GSWS09",-0.160465790687338,312.365452094518,1.49011611938477e-07,"AND","sig",33
"15","GSWS10",-0.016311752772419,19.6320564151984,0.546201202869416,"AND","not sig",28
"16","I080.2M",-0.00757595523974062,15.7175917500949,1,"UMR","not sig",5
"17","Imnavait Weir",-0.0704558497049184,140.44982578858,0.580712162189025,"ARC","not sig",4
"18","Kolyma",-0.196730531642346,390.165719072084,0.0583979067493014,"GRO","sig",8
"19","Lawson Creek at B3",-0.0253559747871048,48.8575548160447,0.0661925797221934,"MCM","sig",10
"20","Lena",-0.35206462792296,703.2345726229,0.00251649656384151,"GRO","sig",12
"21","LM00.5M",-0.35206462792296,703.2345726229,0.00251649656384151,"UMR","sig",1
"22","LMP73",0.10045364478662,-200.467851529919,0.184572552839883,"LMP","not sig",10
"23","M078.0B",-0.0750253141531579,152.485870225625,0.3125,"UMR","not sig",5
"24","M241.4K",-0.00183463692322209,3.92423438411911,0.734375,"UMR","not sig",9
"25","M556.4A",-0.0733806645898141,147.849829320437,0.25,"UMR","not sig",3
"26","M701.1B",0.0516770402858652,-105.044155830226,0.25,"UMR","not sig",3
"27","M764.3A",-0.0248348752932144,48.8443190791664,0.197466073358019,"UMR","not sig",4
"28","M786.2C",-0.122114801668529,243.547198121353,0.5,"UMR","not sig",3
"29","Mackenzie",-0.447150463487436,895.561408247527,0.0583979067493014,"GRO","sig",8
"30","MARTINELLI",-0.109982587204983,215.381992409283,0.02734375,"NWT","sig",9
"31","MPR",-0.0354284034968569,69.1813161401538,7.42485401815431e-05,"LUQ","sig",26
"32","MQ02.1M",0.277999330093255,-561.83121674652,0.357272559031875,"UMR","not sig",4
"33","Ob",-0.0289788177932349,56.6669501409768,0.0322007647525047,"GRO","sig",10
"34","Onyx River at Lake Vanda Weir",0.0532068669874254,-115.198160394453,0.25,"MCM","not sig",3
"35","Onyx River at Lower Wright Weir",0.0218200732340819,-34.5965292702708,1,"MCM","not sig",3
"36","Priscu Stream at B1",-0.0268461336378183,50.4158335999387,0.75,"MCM","not sig",3
"37","Q1",0.0040129582130483,-9.66456702006206,0.559958457946777,"LUQ","not sig",23
"38","Q2",-0.0203192913285244,38.5880852340116,0.190093994140625,"LUQ","not sig",17
"39","Q3",0.010197647075707,-22.0814612625072,0.25480926805567,"LUQ","not sig",20
"40","QS",0.00732469728591521,-15.974836199859,0.607096731770818,"LUQ","not sig",30
"41","S65",-0.00537764224299222,11.4168632533033,0.293177459564512,"KRR","not sig",6
"42","S65A",0.0223498102363925,-44.2279306200745,0.4609375,"KRR","not sig",8
"43","S65D",-0.00527139695837502,11.3331371115598,0.5771484375,"KRR","not sig",11
"44","S65E",-0.0309412689194835,62.9332348900881,0.064453125,"KRR","sig",10
"45","SADDLE STREAM 007",-0.117090469547008,235.412698341805,0.125,"NWT","not sig",5
"46","Sagehen",0.00617750162257251,-18.6066725164695,0.110421076416969,"Sagehen","not sig",29
"47","SG16.2C",-0.371581343369607,744.34151456261,0.125,"UMR","not sig",5
"48","Toolik Inlet",0.0221040895031048,-41.1088698619743,0.474958539889507,"ARC","not sig",10
"49","TW Weir",-1.65807956793987,3306.22325938579,0.0975125381781096,"ARC","sig",4
"50","Von Guerard Stream at F6",-0.211617551386505,417.796048922293,0.34577858615116,"MCM","not sig",2
"51","WP02.6M",-0.0134282593332655,27.5148800061677,0.107666383724978,"UMR","not sig",12
"52","ws1",-0.11211585614619,212.018068717511,0.00247833194274361,"HBR","sig",16
"53","ws2",-0.0902204289166585,172.53253047829,0.0463091968744082,"HBR","sig",28
"54","ws3",-0.0212732144262955,34.848345807398,0.194807207910344,"HBR","not sig",33
"55","ws4",-0.00940533038477522,9.63088601615767,0.455138324818108,"HBR","not sig",37
"56","ws5",0.0430194757626021,-92.7350715765589,0.0243342071771622,"HBR","sig",29
"57","ws6",-0.00980383573846464,14.0429773944091,0.695370869730012,"HBR","not sig",38
"58","ws7",0.164845825933207,-337.332715888655,0.00463382786624968,"HBR","sig",18
"59","ws8",-0.0392445607195352,74.3176436247633,0.67877197265625,"HBR","not sig",15
"60","ws9",0.0399720237963734,-84.6129684958109,0.167724609375,"HBR","not sig",13
"61","Yenisey",0.00236218789108233,-7.53805801642601,0.725639961619879,"GRO","not sig",8
"62","Yukon",-0.0984722486600171,196.417351123124,0.0546875,"GRO","sig",9
