"","site.name","mblm_slope","mblm_intercept","mblm_pvalue","LTER","mblm_sig"
"1","ALBION",0,0,0.0346105575157073,"NWT","sig"
"2","Andersen Creek at H1",NA,0,0.0346105575157073,"MCM","sig"
"3","BK01.0M",0,0,1,"UMR","not sig"
"4","Canada Stream at F1",0.0584921839311035,-120.589716964415,0.121275800667467,"MCM","not sig"
"5","CH00.1M",0,0,0.528612125255688,"UMR","not sig"
"6","CN00.1M",0,0,0.371093369522698,"UMR","not sig"
"7","CU11.6M",0,0,0.371093369522698,"UMR","not sig"
"8","Green Creek at F9",-0.102252386515928,202.77333066056,0.0209745371127849,"MCM","sig"
"9","GSMACK",0.0123352007286648,-32.4095625169884,0.936802864074707,"AND","not sig"
"10","GSWS02",0.0161568922781691,-50.032620699504,0.811475747192162,"AND","not sig"
"11","GSWS06",-0.353431020739106,676.677778379325,0.195632934570312,"AND","not sig"
"12","GSWS07",0.175271705574262,-362.835069026265,0.0130296083948115,"AND","sig"
"13","GSWS08",-0.0643165250550619,110.549350284937,0.052341313987192,"AND","sig"
"14","GSWS09",-0.1331043831259,256.04993260445,1.91084109246731e-05,"AND","sig"
"15","GSWS10",-0.265528610078097,519.802700726867,7.65215663705023e-05,"AND","sig"
"16","I080.2M",0,0,0.371093369522698,"UMR","not sig"
"17","Kolyma",NA,0,0.371093369522698,"GRO","not sig"
"18","Lawson Creek at B3",0,0,0.528612125255688,"MCM","not sig"
"19","Lena",NA,0,0.528612125255688,"GRO","not sig"
"20","LM00.5M",0,0,1,"UMR","not sig"
"21","LMP73",0.0938026033217522,-188.261824866757,0.123534253752569,"LMP","not sig"
"22","M078.0B",0,0,1,"UMR","not sig"
"23","M241.4K",0,0,0.672603817441517,"UMR","not sig"
"24","M556.4A",0,0,1,"UMR","not sig"
"25","M701.1B",0,0,1,"UMR","not sig"
"26","M764.3A",0,0,1,"UMR","not sig"
"27","M786.2C",0,0,1,"UMR","not sig"
"28","Mackenzie",0,0,0.787406490666269,"GRO","not sig"
"29","MARTINELLI",0,0,0.0519129649350183,"NWT","sig"
"30","MPR",-0.0417420960880229,81.8589112922821,2.51829624176025e-06,"LUQ","sig"
"31","MQ02.1M",0,0,1,"UMR","not sig"
"32","Ob",NA,0,1,"GRO","not sig"
"33","Onyx River at Lake Vanda Weir",NA,0,1,"MCM","not sig"
"34","Onyx River at Lower Wright Weir",NA,0,1,"MCM","not sig"
"35","Priscu Stream at B1",NA,0,1,"MCM","not sig"
"36","Q1",-0.00221121819681362,3.86182564713824,0.461401318525177,"LUQ","not sig"
"37","Q2",0,0,0.987865955356549,"LUQ","not sig"
"38","Q3",0,0,1,"LUQ","not sig"
"39","QS",-0.013212468861933,24.6840928490996,0.454044791404158,"LUQ","not sig"
"40","S65",0,0,1,"KRR","not sig"
"41","S65A",0,0,0.672603817441517,"KRR","not sig"
"42","S65D",0,0,0.833634883024682,"KRR","not sig"
"43","S65E",0,0,0.672603817441517,"KRR","not sig"
"44","SADDLE STREAM 007",0,0,0.177529852412153,"NWT","not sig"
"45","Sagehen",NA,0,0.177529852412153,"Sagehen","not sig"
"46","SG16.2C",0,0,0.422678074170635,"UMR","not sig"
"47","Von Guerard Stream at F6",NA,0,0.422678074170635,"MCM","not sig"
"48","WP02.6M",0,0,0.0775561667436655,"UMR","not sig"
"49","ws1",0,0,0.236136970221653,"HBR","not sig"
"50","ws2",-0.0696192817192174,131.6013561263,0.000299465014843835,"HBR","sig"
"51","ws3",0,0,0.349608102266898,"HBR","not sig"
"52","ws4",0,0,0.450778168678402,"HBR","not sig"
"53","ws5",0,0,0.00696708052199203,"HBR","sig"
"54","ws6",0.00847872343843475,-22.756177449232,0.0100740409481426,"HBR","sig"
"55","ws7",-0.00730011344039338,10.4114683809708,0.866585628639051,"HBR","not sig"
"56","ws8",0,0,0.856382731694504,"HBR","not sig"
"57","ws9",0,0,0.414823067184775,"HBR","not sig"
"58","Yenisey",NA,0,0.414823067184775,"GRO","not sig"
"59","Yukon",NA,0,0.414823067184775,"GRO","not sig"
