"","site.name","mblm_slope","mblm_intercept","mblm_pvalue","mblm_sig"
"1","ALBION",0.0208653236159345,-41.9192332149545,0.000215638081352279,"sig"
"2","Andersen Creek at H1",0.00852397575883325,-19.3393079106782,1,"not sig"
"3","BK01.0M",-0.00825432151030106,16.5423850378694,0.363298347296752,"not sig"
"4","Canada Stream at F1",0.110471793511049,-224.546974297089,0.00219488143920898,"sig"
"5","CH00.1M",-0.00389649461660341,6.52873741900676,0.495322106052957,"not sig"
"6","CN00.1M",-0.00618952494862935,12.5911811079649,0.974099003006211,"not sig"
"7","CU11.6M",-0.0311615985825435,62.4414829101036,0.0852884247830171,"not sig"
"8","Green Creek at F9",-0.00820178978832216,13.1498115743538,0.283941236989892,"not sig"
"9","GSMACK",0.0123352007286648,-32.4095625169884,0.957845032215118,"not sig"
"10","GSWS02",0.0161568922781691,-50.032620699504,0.823061679140665,"not sig"
"11","GSWS06",-0.353431020739106,676.677778379325,0.195632934570312,"not sig"
"12","GSWS07",0.175271705574262,-362.835069026265,0.0130296083948115,"sig"
"13","GSWS08",-0.0643165250550619,110.549350284937,0.0468726569385123,"sig"
"14","GSWS09",-0.1331043831259,256.04993260445,1.39587791636586e-05,"sig"
"15","GSWS10",-0.172659663827035,333.228987708484,2.87138536805288e-05,"sig"
"16","I080.2M",-0.0240215664330696,48.545352493074,0.242436901775948,"not sig"
"17","Imnavait Weir",-0.0819900385016371,164.083589306967,0.293029259186775,"not sig"
"18","Kolyma",-0.319243672525473,637.438861900096,0.00471865944822204,"sig"
"19","Lawson Creek at B3",0.0424397270374603,-86.7694101330084,0.0406473449734978,"sig"
"20","Lena",-0.173174271212654,344.986483247383,0.001093939947288,"sig"
"21","LM00.5M",-0.0364309435040849,73.5205110727132,0.0301175117492676,"sig"
"22","LMP73",0.154119220568578,-309.049387792537,0.00537109375,"sig"
"23","M078.0B",-0.00768167268360753,15.7290469623521,0.0852884247830171,"not sig"
"24","M241.4K",-0.00136870486879147,2.86517405746689,0.255769326788143,"not sig"
"25","M556.4A",-0.00165297638088665,3.29751295837433,0.055416085561271,"not sig"
"26","M701.1B",-0.0051980345300436,10.4766212190341,0.11912569280788,"not sig"
"27","M764.3A",-0.00521506147916868,10.1629783332396,0.848593711853027,"not sig"
"28","M786.2C",0.00479084578887503,-9.84148769332171,0.745424868858062,"not sig"
"29","Mackenzie",0.241821102072916,-491.59060281553,0.127197265625,"not sig"
"30","MARTINELLI",-0.129628524762655,257.730030337922,1.57356262207031e-05,"sig"
"31","MPR",-0.0376194581064273,73.5015338832769,2.51829624176025e-06,"sig"
"32","MQ02.1M",-0.00764178047026518,15.2249803230021,0.516080787976765,"not sig"
"33","Ob",-0.0404223837330699,80.2658186541094,0.148678549226511,"not sig"
"34","Onyx River at Lake Vanda Weir",-0.120782488628878,244.865259315361,0.103214263916016,"not sig"
"35","Onyx River at Lower Wright Weir",-0.0160206681053947,30.7599944704475,0.603422830777815,"not sig"
"36","Priscu Stream at B1",0.0896669369429405,-179.553535056161,0.12054443359375,"not sig"
"37","Q1",0.0427694711640538,-86.2489858210001,0.000280930805199838,"sig"
"38","Q2",0.032901996062425,-66.8265493129407,0.00161023380398276,"sig"
"39","Q3",0.0603939903722665,-121.579127393731,2.60770320892334e-08,"sig"
"40","QS",-0.00896064711651074,16.1761975365097,0.585975122172386,"not sig"
"41","RI",-0.0239277096343226,47.0771077781603,0.135275829016627,"not sig"
"42","S65",-0.0473901444103153,95.4311203061928,0.00201416015625,"sig"
"43","S65A",-0.0381404706723078,77.0679933924006,0.167148969064392,"not sig"
"44","S65D",-0.0177891864375868,36.0408033954045,0.263320922851563,"not sig"
"45","S65E",-0.0415420983329786,84.1266207276379,0.0143298775289014,"sig"
"46","SADDLE STREAM 007",-0.03246535772438,64.8609513613608,0.00108822784559511,"sig"
"47","Sagehen",0.00910098228747564,-24.4710435890527,0.0460115655636646,"sig"
"48","SG16.2C",-0.028741352721123,58.3688375793463,0.165858745574951,"not sig"
"49","Toolik Inlet",0.0158404700638423,-33.3851381205301,0.677703857421875,"not sig"
"50","TW Weir",0.0243556414398721,-50.1444649562,0.9187600955118,"not sig"
"51","Von Guerard Stream at F6",-0.616945715813705,1235.3106280809,0.000493165220825478,"sig"
"52","WP02.6M",0.0155814262555472,-30.850887812759,0.00523461547608124,"sig"
"53","ws1",-0.175562258128778,338.42359293365,5.60817215955468e-06,"sig"
"54","ws2",-0.124928658996519,243.368030575125,2.55833845130837e-06,"sig"
"55","ws3",0.0112940406271189,-29.4224577255217,0.165520226796048,"not sig"
"56","ws4",-0.0330925897888968,59.3075317789642,0.00310826102203853,"sig"
"57","ws5",-0.0321996285784275,58.7415624153664,0.378515109702676,"not sig"
"58","ws6",0.0181072893443778,-40.2865281426441,0.0697137838909942,"not sig"
"59","ws7",0.00116067893707646,-5.72335907564936,0.601045846939087,"not sig"
"60","ws8",-0.0428384362718268,82.2586341147707,1,"not sig"
"61","ws9",-0.0555852728359147,108.646334624259,0.234470844268799,"not sig"
"62","Yenisey",0.15409682062012,-312.896754919247,0.026611328125,"sig"
"63","Yukon",0.032558162235194,-68.1690652029411,0.148678549226511,"not sig"
